name,designation,company,address,city,phone,fax,email,website,product,state,credit rating,rating agency,report year,annual revenue (cr),net profit (cr),debt-to-equity ratio,ebitda margin (%),production capacity (mt),source url,about,cin,listed on stock exchange,company status,roc,registration number,company category,company sub category,class of company,date of incorporation,age of company,NIC Code,NIC Description,number of members,zauba url,active_nclt_cases,nclt_status
BDG METAL & POWER LIMITED,Director,Bdg Metal And Power Limited,"HMP House, 4, Fairlie Place, 5th floor Kolkata - 700 001",Kolkata,033-40059000/40059005,033-40059091 / 40059095,alokgoyal@goyalgroup.in;sudiprc@goyalgroujp.in,http://www.goyalgroup.in,Ferro Manganese Silico Manganese,West Bengal,CRISIL A-/Stable,CRISIL,2021,951.1,12.3,0.57,6,2.42,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/BDGMetalandPowerLimited_November%2029,%202021_RR_281444.html; https://www.careratings.com/upload/CompanyFiles/PR/202409120940_BDG_Polysteel_Limited.pdf","BDG METAL & POWER LIMITED(CIN: U51109WB1999PLC088908) is a Public company incorporated on 05 Dec 1999. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 100000000.00 and its paid up capital is Rs. 71765950.00.BDG METAL & POWER LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.BDG METAL & POWER LIMITED's NIC code is 5110 (which is part of its CIN). As per the NIC code, it is inolved in Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.].Directors of BDG METAL & POWER LIMITED are SUSHILA DEVI AGARWALA, SAMBA SIVA RAO CHAGANTIPATI, SUNIL KUMAR JALAN, ALOK  GOYAL, DILIP KUMAR CHORARIA, and SOMNATH  BHATTACHARYYA.BDG METAL & POWER LIMITED's Corporate Identification Number (CIN) is U51109WB1999PLC088908 and its registration number is 88908. Users may contact BDG METAL & POWER LIMITED on its Email address - bdgmetalpltd@gmail.com. Registered address of BDG METAL & POWER LIMITED is HMP HOUSE 4 FAIRLY PLACE5TH FLOOR   , KOLKATA, West Bengal, India - 700001.Current status of BDG METAL & POWER LIMITED is - Active.",U51109WB1999PLC088908,Unlisted,Active,Kolkata,88908,Company limited by shares,Non-government company,Public,05-03-1999,"26 years, 0 months, 8 days",5110,Wholesale on a fee or contract basis. [Includes commission agents  commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.],Data not available,https://www.zaubacorp.com/BDG-METAL-AND-POWER-LIMITED-U51109WB1999PLC088908,0,No Active Cases
BEEKAY STEEL INDUSTRIES LTD,Executive Director,Beekay Steel Industries Limited,"Lansdown Towers, 4th Floor, 2/1A, Sarat Bose Road, Kolkata 700020, West Bengal",Kolkata,"033 40604444, 22830061",,"vikasb@beekaysteel.com,sales@beekaysteel.com",,"Silico Manganese, Ferro Manganese, Ferro Chrome",West Bengal,CRISIL BBB+,CRISIL,2022,96,57,Data Not Found,Data Not Found,Data Not Found,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/VosslohBeekayCastingsLimited_August%2030,%202022_RR_298663.html; https://www.indiaratings.co.in/racbankwisefacility/72004","BEEKAY STEEL INDUSTRIES LTD(CIN: L27106WB1981PLC033490) is a Public company incorporated on 28 Dec 1981. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 230000000.00 and its paid up capital is Rs. 190720520.00.BEEKAY STEEL INDUSTRIES LTD's Annual General Meeting (AGM) was last held on 29 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.BEEKAY STEEL INDUSTRIES LTD's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of BEEKAY STEEL INDUSTRIES LTD are MANAV  BANSAL, VIKAS  BANSAL, BHARAT KUMAR NADHANI, SHALINI  JAIN, MANAV  BANSAL, RABINDRA KUMAR SAHOO, SANDIP KUMAR KEJRIWAL, SHYANTHI  DASGUPTA, PRANAB KUMAR CHAKRABARTY, SURESH CHAND BANSAL, GAUTAM  BANSAL, and MUKESH CHAND BANSAL.BEEKAY STEEL INDUSTRIES LTD's Corporate Identification Number (CIN) is L27106WB1981PLC033490 and its registration number is 33490. Users may contact BEEKAY STEEL INDUSTRIES LTD on its Email address - rksahoo@beekaysteel.com. Registered address of BEEKAY STEEL INDUSTRIES LTD is 2/1A, SARAT BOSE ROAD LANS DOWNE TOWERS, 4TH FLOOR   , KOLKATA, West Bengal, India - 700020.Current status of BEEKAY STEEL INDUSTRIES LTD is - Active.",L27106WB1981PLC033490,Listed,Active,Kolkata,33490,Company limited by shares,Non-government company,Public,28-03-1981,"44 years, -1 months, 15 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/BEEKAY-STEEL-INDUSTRIES-LTD-L27106WB1981PLC033490,0,No Active Cases
Mr. Samir L. Bhartia,,Bhartia Metlloys Limited,"B-6, MIDC, Ghugus Road Chandrapur 442 406 Maharashtra .",Chandrapur,07172-287641,0712-2721484,ashish@bhartias.com;info@bhartias.com,,"Ferro Silicon Magnesium, Fesi Barium, Fesi Zirconium, Fesi  Inoculant",Maharashtra,CRISIL B,CRISIL,2025,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,"https://www.crisilratings.com/en/home/our-business/ratings.html; https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/BhartiaDistributorsPrivateLimited_March%2021,%202022_RR_290125.html; https://www.icra.in/Rating/GetRationalReportFilePdf?Id=129714",Not Available,,,,,,,,,,,,,Data not available,https://www.zaubacorp.com/,0,No Active Cases
SHREE BHOLEY ALLOYS PRIVATE LIMITED,Director,Bholey Alloys Private Limited,"Phase IV/C-1 P-3, Bokaro Industrial Area, Balidih,Bokaro Steel City - 827014, Jharkhand",Bokaro,065r42-253491,,"infoi@bholeyalloys.com,shreebholeyalloys@gmail.com",,Silico Manganese,Jharkhand,CRISIL BBB-/Stable,CRISIL,2021,110.36,2.46,1.25,Data Not Found,21600,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/ShreeBholeyAlloysPrivateLimited_August%2018,%202021_RR_275570.html; https://www.careratings.com/upload/CompanyFiles/PR/13102022062704_B._P._Alloys_Limited.pdf","SHREE BHOLEY ALLOYS PRIVATE LIMITED(CIN: U27101JH2008PTC013366) is a Private company incorporated on 11 Dec 2008. It is classified as Non-government company and is registered at Registrar of Companies, Jharkhand. Its authorized share capital is Rs. 97500000.00 and its paid up capital is Rs. 88151800.00.SHREE BHOLEY ALLOYS PRIVATE LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.SHREE BHOLEY ALLOYS PRIVATE LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of SHREE BHOLEY ALLOYS PRIVATE LIMITED are SATYA NAND SINGH, RAKESH KUMAR SINGH, and SUMEET  KUMAR.SHREE BHOLEY ALLOYS PRIVATE LIMITED's Corporate Identification Number (CIN) is U27101JH2008PTC013366 and its registration number is 13366. Users may contact SHREE BHOLEY ALLOYS PRIVATE LIMITED on its Email address - shreebholeyalloys@gmail.com. Registered address of SHREE BHOLEY ALLOYS PRIVATE LIMITED is BARWAADDA, P.O. KALYANPUR   , DHANBAD, Jharkhand, India - 826004.Current status of SHREE BHOLEY ALLOYS PRIVATE LIMITED is - Active.",U27101JH2008PTC013366,Unlisted,Active,Jharkhand,13366,Company limited by shares,Non-government company,Private,11-11-2008,"16 years, 4 months, 2 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/SHREE-BHOLEY-ALLOYS-PRIVATE-LIMITED-U27101JH2008PTC013366,0,No Active Cases
Dr. R.J. Singh,Partner,Boon Metal And Alloys Corporation Limited,"Plot No.3002 & 1223, GIDC,Sarigam  396155 Dist. Valsad, Gujarat",Valsad,+91 9725477705,,drrjsingh@boonmetal.com,,Ferro Molybdenum Ferro Vanadium and  Ferro Titanium,Gujarat,CRISIL BB-,CRISIL,2025,Data Not Found,Data Not Found,Data Not Found,Data Not Found,Data Not Found,"https://www.crisilratings.com/en/home/our-business/ratings.html; https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/AnantAlloysAndSteelLLP_May%2026,%202021_RR_265381.html",,,,,,,,,,,,,,Data not available,,0,No Active Cases
CARBON RESOURCES PVT LTD,Jt. Managing Director,Carbon Resources Private Limited,"Saberwal House, 3rd Floor, 55B, Mirza Ghalib Street, Kolkata 700016, West Bengal",Kolkata,9.19E+11,,"abhishek.jalan@carbonresources.in,mahendra.sharma@carbonresources.in",,Silico Manganese,West Bengal,CRISIL A,CRISIL,2021,832.9,45.3,0.24,8.31,111.8,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/CarbonResourcesPrivateLimited_August%2012,%202021_RR_276300.html; https://www.careratings.com/upload/CompanyFiles/PR/202503120332_Carbon_Resources_Private_Limited.pdf","CARBON RESOURCES PVT LTD(CIN: U23109WB1991PTC052947) is a Private company incorporated on 04 Dec 1991. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 250000000.00 and its paid up capital is Rs. 240000000.00.CARBON RESOURCES PVT LTD's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.CARBON RESOURCES PVT LTD's NIC code is 2310 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of coke oven products [This class includes the operation of coke ovens chiefly for the production of coke or semi -coke from hard coal and lignite, retort carbon and residual products such as coal tar or pitch. Agglomeration of coke. Distillation of coal tar is classified in class 2411.].Directors of CARBON RESOURCES PVT LTD are ABHISHEK  JALAN, ROHIT KUMAR BAGRI, SURESH KUMAR JALAN, and ABHINAV KUMAR JALAN.CARBON RESOURCES PVT LTD's Corporate Identification Number (CIN) is U23109WB1991PTC052947 and its registration number is 52947. Users may contact CARBON RESOURCES PVT LTD on its Email address - COMPLIANCE@CARBONRESOURCES.IN. Registered address of CARBON RESOURCES PVT LTD is SABERWAL HOUSE 55B, MIRZA GALIB STREET, 3RD FLOOR   , KOLKATA, West Bengal, India - 700016.Current status of CARBON RESOURCES PVT LTD is - Active.",U23109WB1991PTC052947,Unlisted,Active,Kolkata,52947,Company limited by shares,Non-government company,Private,04-09-1991,"33 years, 6 months, 9 days",2310,Manufacture of coke oven products [This class includes the operation of coke ovens chiefly for the production of coke or semi -coke from hard coal and lignite  retort carbon and residual products such as coal tar or pitch. Agglomeration of coke. Distillation of coal tar is classified in class 2411.],Data not available,https://www.zaubacorp.com/company/CARBON-RESOURCES-PVT-LTD/U23109WB1991PTC052947,0,No Active Cases
CASTRON TECHNOLOGIES LTD,Director,Castron Technologies Limited,"8, Waterloo Street Kolkata 700 069.",Kolkata,033-22486442,033-22884861,info@castrontech.com;atul@castrontech.com,,Ferro Manganese Silico Manganese,West Bengal,CRISIL B+/Stable/CRISIL A4,CRISIL,2024,293.05,59.91,Data Not Found,Data Not Found,28000,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/CastronTechnologiesLimited_November%2025_%202024_RR_356140.html; https://www.careratings.com/upload/CompanyFiles/PR/202407120740_Castron_Technologies_Limited.pdf,"CASTRON TECHNOLOGIES LTD(CIN: U27310WB1983PLC035788) is a Public company incorporated on 01 Dec 1983. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 67000000.00 and its paid up capital is Rs. 30578860.00.CASTRON TECHNOLOGIES LTD's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.CASTRON TECHNOLOGIES LTD's NIC code is 2731 (which is part of its CIN). As per the NIC code, it is inolved in Casting of iron and steel.Directors of CASTRON TECHNOLOGIES LTD are MAHENDRA KUMAR AGARWALLA, ASHOK KUMAR CHOUDHARY, JIWAN RAM PATWARI, RUPESH KUMAR CHOURASIA, MOHIT KUMAR BANSAL, and PRATHAM  MITTAL.CASTRON TECHNOLOGIES LTD's Corporate Identification Number (CIN) is U27310WB1983PLC035788 and its registration number is 35788. Users may contact CASTRON TECHNOLOGIES LTD on its Email address - jiwan@castrontech.com. Registered address of CASTRON TECHNOLOGIES LTD is 14, BENTICK STREET ROOM NO. 8 1ST FLOOR   , KOLKATA, West Bengal, India - 700001.Current status of CASTRON TECHNOLOGIES LTD is - Active.",U27310WB1983PLC035788,Unlisted,Active,Kolkata,35788,Company limited by shares,Non-government company,Public,01-02-1983,"42 years, 1 months, 12 days",2731,Casting of iron and steel,Data not available,https://www.zaubacorp.com/CASTRON-TECHNOLOGIES-LTD-U27310WB1983PLC035788,0,No Active Cases
CHHATTISGARH STEEL AND POWER LIMITED,President,Chhattisgarh Steel And Power Limited,"Village - Amjhar, Janjgir, Champa, Chhattisgarh 495671",Champa,"7909904948, 9493386051, 9948873557",,"vamsivarma_p@yahoo.co.in,champapower17@gmail.com",,"High Carbon Silico Manganese,Ferro Manganese",Chhattisgarh,CRISIL BB+,CRISIL,2023,Data Not Found,Data Not Found,Data Not Found,Data Not Found,105000,"https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/TimesSteelAndPowerPrivateLimited_March%2031,%202023_RR_316294.html","CHHATTISGARH STEEL AND POWER LIMITED(CIN: U27109CT2003PLC016284) is a Public company incorporated on 24 Dec 2003. It is classified as Non-government company and is registered at Registrar of Companies, Chhattisgarh. Its authorized share capital is Rs. 1000000000.00 and its paid up capital is Rs. 820000000.00.CHHATTISGARH STEEL AND POWER LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.CHHATTISGARH STEEL AND POWER LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of CHHATTISGARH STEEL AND POWER LIMITED are ANSHUL  MOTWANI, SURENDRAPAL  NEWARE, SAILESH KUMAR LINGAM, RAMESH SINGH THAKUR, LAKSHMI LAVANYA PANNASA, SURESH  MARPU, and APPALARAJU  AYINAMPUDI.CHHATTISGARH STEEL AND POWER LIMITED's Corporate Identification Number (CIN) is U27109CT2003PLC016284 and its registration number is 16284. Users may contact CHHATTISGARH STEEL AND POWER LIMITED on its Email address - champapower17@gmail.com. Registered address of CHHATTISGARH STEEL AND POWER LIMITED is M/s. Chhattisgarh Steel and Power Limited Village: Amjhar   , Janjgit, Chattisgarh, India - 495671.Current status of CHHATTISGARH STEEL AND POWER LIMITED is - Active.",U27109CT2003PLC016284,Unlisted,Active,Chhattisgarh,16284,Company limited by shares,Non-government company,Public,24-12-2003,"21 years, 2 months, 19 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/CHHATTISGARH-STEEL-AND-POWER-LIMITED-U27109CT2003PLC016284,1,Active
D S ALLOYD PRIVATE LIMITED,Director,D.S.Alloyd Private Limited,"C235, MIDC Industrial Area, Butibori, Nagpur 441122, Maharashtra",Nagpur,9810024904,0712 2293692,hp_mittall@hotmail.com,,,Maharashtra,CRISIL BB,CRISIL,2019,229.47,0.93,0.83,1.9,Data Not Found,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/D_S_Alloyd_Private_Limited_August_16_2019_RR.html; https://www.careratings.com/search?Id=B9AmPt7lt3x4z7TsHiCmeg==,"D S ALLOYD PRIVATE LIMITED(CIN: U27109DL2002PTC115885) is a Private company incorporated on 20 Dec 2002. It is classified as Non-government company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 50000000.00 and its paid up capital is Rs. 49228000.00.D S ALLOYD PRIVATE LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.D S ALLOYD PRIVATE LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of D S ALLOYD PRIVATE LIMITED are RAJ KUMAR GOEL, and HANUMAN PRASHAD MITTAL.D S ALLOYD PRIVATE LIMITED's Corporate Identification Number (CIN) is U27109DL2002PTC115885 and its registration number is 115885. Users may contact D S ALLOYD PRIVATE LIMITED on its Email address - dsalloyspl@yahoo.co.in. Registered address of D S ALLOYD PRIVATE LIMITED is AN-2 SHALIMAR BAGH   , DELHI, Delhi, India - 110088.Current status of D S ALLOYD PRIVATE LIMITED is - Active.",U27109DL2002PTC115885,Unlisted,Active,Delhi,115885,Company limited by shares,Non-government company,Private,20-06-2002,"22 years, 8 months, 23 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/D-S-ALLOYD-PRIVATE-LIMITED-U27109DL2002PTC115885,0,No Active Cases
DEEPAK FERRO ALLOYS LIMITED,Managing Director,Deepak Ferro Alloys Limited,"Plot No. 201, 202 & 224-D Sector C, Urla Industrial Complex Raipur 493 221 CG.",Raipur,0771-6462001,0771-2324300,"d_ferroalloys@yahoo.co.in,junejaumang@gmail.com",,Silico Manganese Ferro Manganese,Chhattisgarh,CRISIL AA-/Watch Developing,CRISIL,2024,809,Data Not Found,0.1,14.2,140000,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/FerroAlloysCorporationLimited_June%2020_%202024_RR_346247.html; https://www.icra.in/Rating/GetRationalReportFilePdf?id=110938,"DEEPAK FERRO ALLOYS LIMITED(CIN: U27101CT1988PLC004365) is a Public company incorporated on 03 Dec 1988. It is classified as Non-government company and is registered at Registrar of Companies, Chhattisgarh. Its authorized share capital is Rs. 35000000.00 and its paid up capital is Rs. 24976000.00.DEEPAK FERRO ALLOYS LIMITED's Annual General Meeting (AGM) was last held on 30 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.DEEPAK FERRO ALLOYS LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of DEEPAK FERRO ALLOYS LIMITED are RANJIT SINGH RATHORE, JAGDISH KUMAR JUNEJA, KSHITIJ  JUNEJA, and VIVEK KUMAR RATHORE.DEEPAK FERRO ALLOYS LIMITED's Corporate Identification Number (CIN) is U27101CT1988PLC004365 and its registration number is 4365. Users may contact DEEPAK FERRO ALLOYS LIMITED on its Email address - deepakferroalloyslimited@gmail.com. Registered address of DEEPAK FERRO ALLOYS LIMITED is PLOT NO. 201, 202, 224/D URLA INDUSTRIAL AREA   , RAIPUR, Chattisgarh, India - 492003.Current status of DEEPAK FERRO ALLOYS LIMITED is - Active.",U27101CT1988PLC004365,Unlisted,Active,Chhattisgarh,4365,Company limited by shares,Non-government company,Public,03-02-1988,"37 years, 1 months, 10 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/DEEPAK-FERRO-ALLOYS-LIMITED/U27101CT1988PLC004365,0,No Active Cases
ELKEM SOUTH ASIA PRIVATE LIMITED,Managing Director,Elkem South Asia Private Limited,"307/308, B Wing, BSEL Techno Park 3rd Floor, Sector 30A, Vashi, Navi Mumbai 400705, Maharashtra",Mumbai,"022-67761900, 67761999, 9964227444",,"elkem-india@elkem.com,iyer.srinivasan@elkem.com",https://www.elkem.com/,Ferro Silicon Alloys,Maharashtra,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Found,"ELKEM SOUTH ASIA PRIVATE LIMITED(CIN: U99999MH1987FTC043668) is a Private company incorporated on 08 Dec 1987. It is classified as subsidiary of company incorporated outside India and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 260000000.00 and its paid up capital is Rs. 260000000.00.ELKEM SOUTH ASIA PRIVATE LIMITED's Annual General Meeting (AGM) was last held on 13 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.ELKEM SOUTH ASIA PRIVATE LIMITED's NIC code is 99 (which is part of its CIN). As per the NIC code, it is inolved in EXTRA TERRITORIAL ORGANIZATIONS AND BODIES.Directors of ELKEM SOUTH ASIA PRIVATE LIMITED are LIPI  TODI, ABDELOUAHID  BELMAHI, and SRINIVASAN SHASTRI SARANATHAN IYER.ELKEM SOUTH ASIA PRIVATE LIMITED's Corporate Identification Number (CIN) is U99999MH1987FTC043668 and its registration number is 43668. Users may contact ELKEM SOUTH ASIA PRIVATE LIMITED on its Email address - elkem-india@elkem.com. Registered address of ELKEM SOUTH ASIA PRIVATE LIMITED is 307/308, B-wing, BSEL Tech Park, Sector 30A, Vashi,   , Navi Mumbai, Maharashtra, India - 400705.Current status of ELKEM SOUTH ASIA PRIVATE LIMITED is - Active.",U99999MH1987FTC043668,Unlisted,Active,Mumbai,43668,Company limited by shares,subsidiary of company incorporated outside India,Private,08-06-1987,"37 years, 9 months, 5 days",99,EXTRA TERRITORIAL ORGANIZATIONS AND BODIES,Data not available,https://www.zaubacorp.com/company/ORKLA-INDIA-PRIVATE-LIMITED/U99999MH1987FTC043668,1,Active
ESSEL MINING & INDUSTRIES LTD.,Unit Head - Ferro Alloys Unit,Essel Mining And Industries Limited,"Ferro-Chem Division Plot No. 165, 166, GIDC, Phase II Vapi 396 195, Dist. Valsad, Gujarat.",Valsad,"0260-2400399, 2423199, 2401702",0260-2431099,parvesh.garg@adityabirla.com,,,Gujarat,CRISIL AA-,CRISIL,2024,Data Not Found,Data Not Found,0.12,Data Not Found,1,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/EsselMiningandIndustriesLimited_October%2030_%202024_RR_355093.html; https://www.icra.in/Rating/GetRationalReportFilePdf?id=128950; https://www.careratings.com/upload/CompanyFiles/PR/202501140122_Essel_Mining_and_Industries_Limited.pdf,"ESSEL MINING & INDUSTRIES LTD.(CIN: U51109WB1950PLC018728) is a Public company incorporated on 01 Dec 1950. It is classified as Non-government company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 70000000000.00 and its paid up capital is Rs. 19582108530.00.ESSEL MINING & INDUSTRIES LTD.'s Annual General Meeting (AGM) was last held on 29 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.ESSEL MINING & INDUSTRIES LTD.'s NIC code is 5110 (which is part of its CIN). As per the NIC code, it is inolved in Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.].Directors of ESSEL MINING & INDUSTRIES LTD. are KUPPASAMY SIVAKUMAR  ., SUSHIL  AGARWAL, SUNIL KUMAR DAGA, GIRIRAJ  MAHESWARI, DEEKSHA SHARMA VATS, BRUNDABAN BEHERA ., and THOMAS MALIACKAL CHERIAN.ESSEL MINING & INDUSTRIES LTD.'s Corporate Identification Number (CIN) is U51109WB1950PLC018728 and its registration number is 18728. Users may contact ESSEL MINING & INDUSTRIES LTD. on its Email address - dhananjoy.karmakar@adityabirla.com. Registered address of ESSEL MINING & INDUSTRIES LTD. is 10 CAMAC STREET   , KOLKATA, West Bengal, India - 700017.Current status of ESSEL MINING & INDUSTRIES LTD. is - Active.",U51109WB1950PLC018728,Unlisted,Active,Kolkata,18728,Company limited by shares,Non-government company,Public,01-04-1950,"75 years, 1 months, 23 days",5110,Wholesale on a fee or contract basis. [Includes commission agents  commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.],Data not available,https://www.zaubacorp.com/ESSEL-MINING-AND-INDUSTRIES-LTD-U51109WB1950PLC018728,0,No Active Cases
G.R.SPONGE AND POWER LIMITED,Managing Director,G.R. Sponge And Power Limited,"G.R. House, Agarwal Complex, Samta Colony, Raipur 492001, Chhattisgarh;",Raipur,0771-4259100,0771-4259111,md@grgroupindia.com,http://www.grgroupindia.com/,Silico Manganese,Chhattisgarh,CRISIL BBB-/Stable,CRISIL,2018,322.2,9.3,1.27,Data Not Found,Data Not Found,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/G_R_Sponge_and_Power_Limited_August_31_2018_RR.html,"G.R.SPONGE AND POWER LIMITED(CIN: U27100CT1996PLC011135) is a Public company incorporated on 20 Dec 1996. It is classified as Non-government company and is registered at Registrar of Companies, Chhattisgarh. Its authorized share capital is Rs. 154500000.00 and its paid up capital is Rs. 115544090.00.G.R.SPONGE AND POWER LIMITED's Annual General Meeting (AGM) was last held on 26 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 2023-03-31.G.R.SPONGE AND POWER LIMITED's NIC code is 271 (which is part of its CIN). As per the NIC code, it is inolved in Manufacture of Basic Iron & Steel.Directors of G.R.SPONGE AND POWER LIMITED are RANJEET SINGH THAKUR, ANUSHREE  AGRAWAL, KANHAIYA LAL JAIN, ANUSHREE  AGRAWAL, RAMESH KUMAR AGRAWAL, CHETAN KUMAR AGRAWAL, KESHAV KUMAR AGRAWAL, and CHHAYA  VERMA.G.R.SPONGE AND POWER LIMITED's Corporate Identification Number (CIN) is U27100CT1996PLC011135 and its registration number is 11135. Users may contact G.R.SPONGE AND POWER LIMITED on its Email address - cs@grgroupindia.com. Registered address of G.R.SPONGE AND POWER LIMITED is AGRAWAL COMPLEX, SAMTA COLONY,   , RAIPUR,, Chattisgarh, India - 492001.Current status of G.R.SPONGE AND POWER LIMITED is - Active.",U27100CT1996PLC011135,Unlisted,Active,Chhattisgarh,11135,Company limited by shares,Non-government company,Public,20-08-1996,"28 years, 6 months, 23 days",271,Manufacture of Basic Iron & Steel,Data not available,https://www.zaubacorp.com/company/G-R-SPONGE-AND-POWER-LIMITED/U27100CT1996PLC011135,0,No Active Cases
